segment Mississippi
32.497 -90.988
32.5 -90.99
32.506 -90.994
32.514 -91.005
32.517 -91.011
32.517 -91.013
32.523 -91.028
32.53 -91.049
32.531 -91.051
32.531 -91.052
32.536 -91.062
32.547 -91.075
32.556 -91.08
32.563 -91.07
32.563 -91.069
32.574 -91.049
32.576 -91.044
32.576 -91.043
32.58 -91.036
32.583 -91.031
32.592 -91.023
32.597 -91.016
32.598 -91.014
32.602 -91.01
32.61 -91.005
32.615 -91.003
32.623 -91.003
32.625 -91.004
32.631 -91.007
32.64 -91.014
32.644 -91.019
32.647 -91.026
32.644 -91.03
32.636 -91.038
32.633 -91.04
32.625 -91.041
32.621 -91.043
32.614 -91.049
32.607 -91.05
32.605 -91.061
32.601 -91.08
32.597 -91.088
32.591 -91.106
32.59 -91.113
32.585 -91.119
32.585 -91.12
32.585 -91.125
32.586 -91.128
32.592 -91.135
32.597 -91.141
32.601 -91.144
32.604 -91.146
32.616 -91.151
32.626 -91.154
32.631 -91.154
32.635 -91.154
32.641 -91.153
32.642 -91.152
32.644 -91.15
32.648 -91.144
32.649 -91.142
32.65 -91.139
32.651 -91.138
32.659 -91.131
32.665 -91.128
32.674 -91.118
32.682 -91.104
32.685 -91.099
32.691 -91.081
32.694 -91.076
32.703 -91.064
32.713 -91.057
32.719 -91.055
32.722 -91.055
32.722 -91.054
32.726 -91.057
32.727 -91.061
32.733 -91.077
32.736 -91.091
32.74 -91.114
32.743 -91.123
32.743 -91.132
