segment Nebraska
40.299 -95.568
40.297 -95.562
40.296 -95.559
40.291 -95.553
40.289 -95.552
40.286 -95.551
40.281 -95.551
40.271 -95.556
40.268 -95.556
40.263 -95.554
40.262 -95.552
40.259 -95.547
40.249 -95.522
40.249 -95.515
40.25 -95.5
40.249 -95.49
40.248 -95.486
40.246 -95.483
40.243 -95.478
40.236 -95.473
40.231 -95.47
40.228 -95.47
40.222 -95.47
40.22 -95.47
40.218 -95.471
40.217 -95.471
40.216 -95.472
40.215 -95.473
40.213 -95.473
40.212 -95.474
40.209 -95.478
40.201 -95.482
40.197 -95.483
40.192 -95.483
40.189 -95.481
40.186 -95.479
40.185 -95.479
40.183 -95.477
40.182 -95.476
40.177 -95.471
40.176 -95.47
40.176 -95.469
40.169 -95.461
40.167 -95.455
40.163 -95.443
40.162 -95.441
40.161 -95.44
40.159 -95.436
40.156 -95.435
40.153 -95.434
40.146 -95.433
40.144 -95.433
40.142 -95.432
40.141 -95.432
40.138 -95.431
40.136 -95.429
40.133 -95.425
40.131 -95.42
40.131 -95.419
40.131 -95.418
40.13 -95.409
40.129 -95.405
40.129 -95.404
40.126 -95.399
40.124 -95.396
40.123 -95.395
40.121 -95.394
40.12 -95.394
40.119 -95.393
40.116 -95.393
40.115 -95.393
40.111 -95.393
40.108 -95.394
40.105 -95.397
40.103 -95.4
40.098 -95.396
40.096 -95.395
40.093 -95.396
40.09 -95.399
40.088 -95.399
40.085 -95.396
40.08 -95.393
40.071 -95.397
40.068 -95.401
40.067 -95.405
40.066 -95.412
40.066 -95.413
40.066 -95.414
40.065 -95.416
40.065 -95.417
40.064 -95.418
40.063 -95.421
40.061 -95.421
40.059 -95.422
40.058 -95.421
40.049 -95.419
40.048 -95.419
40.045 -95.418
40.043 -95.417
40.042 -95.416
40.039 -95.414
40.038 -95.414
40.038 -95.413
40.033 -95.407
40.031 -95.403
40.03 -95.402
40.029 -95.4
40.028 -95.396
40.027 -95.392
40.027 -95.387
40.027 -95.383
40.031 -95.364
40.032 -95.357
40.029 -95.349
40.028 -95.347
40.019 -95.336
40.016 -95.329
40.013 -95.318
40.012 -95.315
40.009 -95.312
40.008 -95.311
40.002 -95.308
40 -95.308
40 -95.326
40 -95.34
40 -95.375
40 -95.415
40 -95.422
40 -95.426
40 -95.436
40 -95.439
40 -95.455
40 -95.463
40 -95.464
40 -95.558
40 -95.565
40 -95.643
40 -95.652
40 -95.671
40 -95.785
40 -95.788
40 -95.883
40 -95.897
40.001 -95.958
40.001 -96.011
40.001 -96.024
40.001 -96.052
40.001 -96.081
40.001 -96.09
40 -96.124
40 -96.126
40 -96.147
40 -96.154
40.001 -96.22
40.001 -96.224
40.001 -96.237
40.001 -96.239
40.001 -96.301
40.001 -96.305
40.001 -96.35
40.001 -96.464
40.001 -96.468
40.001 -96.47
40.001 -96.527
40.001 -96.539
40.001 -96.558
40.001 -96.571
40.001 -96.577
40.001 -96.581
40.001 -96.605
40.001 -96.61
40.001 -96.622
40.001 -96.69
40.001 -96.803
40.001 -96.874
40.001 -96.875
40.001 -96.878
40.001 -96.88
40.002 -96.916
40.001 -97.009
40.001 -97.029
40.001 -97.031
40.001 -97.05
40.002 -97.138
40.001 -97.142
40.002 -97.182
40.002 -97.2
40.001 -97.202
40.001 -97.245
40.002 -97.245
40.002 -97.256
40.002 -97.35
40.002 -97.351
40.002 -97.369
40.002 -97.416
40.002 -97.418
40.002 -97.425
40.002 -97.445
40.002 -97.463
40.002 -97.497
40.002 -97.501
40.002 -97.51
40.002 -97.511
40.002 -97.515
40.002 -97.557
40.002 -97.559
40.002 -97.614
40.002 -97.623
40.002 -97.671
40.002 -97.765
40.002 -97.768
40.002 -97.769
40.002 -97.77
40.002 -97.771
40.002 -97.777
40.002 -97.819
40.002 -97.822
40.002 -97.838
40.002 -97.857
40.002 -97.876
40.002 -97.932
40.002 -97.972
40.002 -98.01
40.002 -98.014
40.002 -98.047
40.002 -98.048
40.002 -98.05
40.002 -98.069
40.002 -98.076
