segment Indiana
40.199 -87.531
40.215 -87.531
40.232 -87.53
40.236 -87.53
40.25 -87.53
40.251 -87.53
40.304 -87.529
40.389 -87.528
40.462 -87.527
40.476 -87.527
40.477 -87.526
40.492 -87.526
40.535 -87.526
40.564 -87.526
40.582 -87.526
40.608 -87.526
40.628 -87.526
40.65 -87.526
40.737 -87.526
40.817 -87.526
40.852 -87.526
40.854 -87.526
40.88 -87.526
40.881 -87.526
40.894 -87.526
40.896 -87.526
40.905 -87.526
40.906 -87.526
40.912 -87.526
40.945 -87.526
40.984 -87.526
41 -87.526
41.01 -87.526
41.011 -87.526
41.025 -87.527
41.087 -87.527
41.121 -87.527
41.14 -87.527
41.149 -87.527
41.154 -87.527
41.159 -87.527
41.16 -87.527
41.164 -87.527
41.166 -87.527
41.243 -87.527
41.283 -87.527
41.298 -87.527
41.345 -87.526
41.348 -87.526
41.349 -87.526
41.356 -87.526
41.377 -87.526
41.379 -87.525
41.381 -87.525
41.435 -87.526
41.454 -87.526
41.47 -87.526
41.472 -87.526
41.475 -87.526
41.479 -87.526
41.49 -87.525
41.495 -87.525
41.501 -87.525
41.509 -87.525
41.523 -87.525
41.53 -87.525
41.556 -87.525
41.559 -87.525
41.563 -87.525
41.57 -87.525
41.577 -87.525
41.578 -87.525
41.58 -87.525
41.581 -87.525
41.583 -87.525
41.587 -87.525
41.591 -87.525
41.592 -87.525
41.595 -87.525
41.599 -87.525
41.601 -87.525
41.606 -87.525
41.609 -87.525
41.61 -87.525
41.614 -87.525
41.623 -87.525
41.626 -87.525
41.632 -87.525
41.635 -87.525
41.65 -87.525
41.659 -87.525
41.66 -87.525
41.692 -87.525
41.703 -87.525
41.706 -87.524
41.708 -87.524
41.71 -87.521
41.704 -87.515
41.697 -87.511
41.692 -87.505
41.689 -87.501
