segment Iowa
40.826 -95.839
40.831 -95.837
40.835 -95.837
40.837 -95.838
40.846 -95.841
40.854 -95.847
40.859 -95.848
40.86 -95.849
40.861 -95.849
40.864 -95.848
40.866 -95.847
40.869 -95.844
40.87 -95.843
40.871 -95.842
40.871 -95.84
40.872 -95.839
40.872 -95.838
40.875 -95.825
40.875 -95.824
40.877 -95.82
40.878 -95.819
40.879 -95.817
40.88 -95.816
40.881 -95.815
40.883 -95.813
40.884 -95.812
40.887 -95.811
40.891 -95.809
40.894 -95.81
40.895 -95.81
40.898 -95.811
40.902 -95.813
40.903 -95.814
40.904 -95.815
40.907 -95.819
40.915 -95.831
40.917 -95.833
40.922 -95.836
40.925 -95.838
40.933 -95.84
40.94 -95.84
40.951 -95.838
40.964 -95.83
40.972 -95.828
40.976 -95.829
40.978 -95.83
40.979 -95.831
40.982 -95.833
40.983 -95.834
40.983 -95.835
40.986 -95.838
40.986 -95.839
40.987 -95.839
40.987 -95.84
40.99 -95.844
40.992 -95.853
40.995 -95.86
40.997 -95.863
41.001 -95.867
41.002 -95.867
41.006 -95.869
41.009 -95.869
41.013 -95.868
41.017 -95.866
41.025 -95.86
41.032 -95.859
41.036 -95.86
41.038 -95.86
41.039 -95.862
41.045 -95.87
41.049 -95.875
41.053 -95.879
41.057 -95.882
41.059 -95.882
41.06 -95.882
41.062 -95.882
41.065 -95.882
41.065 -95.881
41.066 -95.881
41.07 -95.878
41.073 -95.873
41.075 -95.871
41.076 -95.869
41.08 -95.865
41.084 -95.864
41.088 -95.863
41.094 -95.863
41.101 -95.865
41.118 -95.866
41.125 -95.869
41.138 -95.879
41.144 -95.882
41.151 -95.883
41.155 -95.883
41.16 -95.881
41.165 -95.876
41.168 -95.872
41.168 -95.871
41.169 -95.87
41.169 -95.867
41.168 -95.865
41.165 -95.853
41.167 -95.846
41.171 -95.842
41.175 -95.841
41.176 -95.842
41.181 -95.844
41.185 -95.85
41.187 -95.857
41.188 -95.865
41.188 -95.873
41.184 -95.91
41.185 -95.915
41.187 -95.918
41.191 -95.923
41.196 -95.926
41.202 -95.927
41.211 -95.925
41.223 -95.915
41.227 -95.913
41.232 -95.911
41.234 -95.911
41.238 -95.911
41.25 -95.917
41.258 -95.921
41.26 -95.921
41.265 -95.922
41.268 -95.92
41.27 -95.919
41.271 -95.914
41.281 -95.929
41.285 -95.93
41.292 -95.93
41.298 -95.927
41.3 -95.922
41.301 -95.92
41.301 -95.906
41.3 -95.904
41.298 -95.904
41.293 -95.904
41.285 -95.909
41.279 -95.912
41.273 -95.902
41.278 -95.891
41.281 -95.882
41.285 -95.877
41.289 -95.873
41.296 -95.871
41.307 -95.875
41.312 -95.878
41.317 -95.883
41.319 -95.889
41.321 -95.899
41.32 -95.914
41.321 -95.922
41.322 -95.926
41.323 -95.927
41.329 -95.939
41.332 -95.944
41.334 -95.947
41.34 -95.953
41.345 -95.957
41.349 -95.957
41.352 -95.955
41.353 -95.952
41.357 -95.941
41.361 -95.935
41.365 -95.931
41.37 -95.929
41.375 -95.929
41.384 -95.935
41.393 -95.937
41.396 -95.937
41.406 -95.931
41.411 -95.93
41.415 -95.93
41.419 -95.931
41.422 -95.932
41.424 -95.933
41.429 -95.933
41.432 -95.932
41.434 -95.931
41.44 -95.924
41.442 -95.922
41.444 -95.921
41.448 -95.92
41.452 -95.92
41.456 -95.923
41.459 -95.926
41.464 -95.933
41.465 -95.937
41.466 -95.939
41.466 -95.94
41.466 -95.942
41.466 -95.946
41.463 -95.957
41.463 -95.962
41.464 -95.965
41.467 -95.973
41.47 -95.983
41.47 -95.991
41.472 -96.005
41.474 -96.009
41.476 -96.012
41.482 -96.016
41.487 -96.02
41.488 -96.02
41.489 -96.019
41.493 -96.016
41.498 -96.007
41.505 -95.998
41.507 -95.996
41.51 -95.994
41.512 -95.993
41.514 -95.993
41.517 -95.993
41.523 -95.994
41.525 -95.995
41.539 -96
41.541 -96.001
41.544 -96.005
41.546 -96.01
41.546 -96.016
41.546 -96.02
41.544 -96.023
41.541 -96.027
41.54 -96.028
41.527 -96.031
41.513 -96.034
41.509 -96.037
41.508 -96.038
41.507 -96.039
41.507 -96.04
41.507 -96.041
41.507 -96.043
41.507 -96.047
41.507 -96.048
41.508 -96.049
41.509 -96.053
41.509 -96.054
41.51 -96.056
41.511 -96.058
41.516 -96.064
41.52 -96.068
41.525 -96.073
41.528 -96.08
41.531 -96.088
41.532 -96.09
41.539 -96.094
41.547 -96.096
41.551 -96.096
41.558 -96.094
41.561 -96.092
41.564 -96.088
41.568 -96.085
41.571 -96.082
41.574 -96.081
41.577 -96.081
41.58 -96.082
41.583 -96.083
41.586 -96.086
41.588 -96.089
41.592 -96.102
41.593 -96.104
41.597 -96.109
41.602 -96.114
41.604 -96.115
41.606 -96.116
41.61 -96.118
41.613 -96.118
41.617 -96.118
41.622 -96.116
41.624 -96.114
41.636 -96.101
41.64 -96.098
41.647 -96.095
41.651 -96.095
41.653 -96.095
41.655 -96.096
41.659 -96.098
41.661 -96.1
41.668 -96.11
41.669 -96.111
41.671 -96.115
41.674 -96.118
41.678 -96.121
41.683 -96.122
41.689 -96.121
41.69 -96.121
41.691 -96.12
41.694 -96.118
41.697 -96.113
41.698 -96.112
41.698 -96.11
41.7 -96.105
41.697 -96.091
41.698 -96.082
41.7 -96.079
41.702 -96.076
41.705 -96.073
41.707 -96.072
41.709 -96.072
41.711 -96.073
41.713 -96.075
41.718 -96.08
41.722 -96.088
41.725 -96.094
41.728 -96.103
41.732 -96.106
41.735 -96.106
41.738 -96.106
41.744 -96.105
41.746 -96.103
41.749 -96.098
41.75 -96.092
41.753 -96.085
41.758 -96.08
41.762 -96.078
41.771 -96.079
41.777 -96.078
41.778 -96.078
41.783 -96.073
41.789 -96.067
41.789 -96.066
41.79 -96.066
41.793 -96.065
41.796 -96.065
41.801 -96.067
41.804 -96.07
41.804 -96.071
41.808 -96.076
41.81 -96.08
