segment Ukraine
48.334 27.955
48.341 27.937
48.35 27.924
48.374 27.891
48.387 27.888
48.393 27.887
48.404 27.879
48.41 27.873
48.417 27.853
48.422 27.828
48.44 27.808
48.448 27.795
48.456 27.774
48.459 27.764
48.458 27.747
48.455 27.725
48.446 27.693
48.444 27.683
48.446 27.654
48.449 27.642
48.458 27.616
48.462 27.607
48.467 27.6
48.477 27.601
48.487 27.604
48.49 27.603
48.49 27.598
48.489 27.588
48.485 27.58
48.474 27.566
48.468 27.547
48.463 27.529
48.46 27.512
48.454 27.497
48.449 27.472
48.435 27.467
48.432 27.468
48.423 27.464
48.419 27.455
48.419 27.44
48.421 27.43
48.42 27.417
48.414 27.397
48.411 27.381
48.415 27.377
48.43 27.373
48.446 27.359
48.452 27.35
48.449 27.334
48.441 27.324
48.421 27.316
48.393 27.297
48.384 27.285
48.377 27.263
48.373 27.243
48.375 27.23
48.395 27.206
48.396 27.197
48.394 27.188
48.388 27.175
48.383 27.151
48.384 27.134
48.388 27.124
48.393 27.118
