segment Switzerland
47.65 8.489
47.65 8.482
47.639 8.48
47.643 8.47
47.649 8.47
47.655 8.473
47.658 8.472
47.657 8.441
47.658 8.441
47.665 8.428
47.67 8.416
47.675 8.413
47.693 8.425
47.695 8.422
47.695 8.423
47.702 8.418
47.708 8.423
47.72 8.441
47.729 8.45
47.733 8.457
47.744 8.46
47.758 8.476
47.771 8.495
47.775 8.507
47.777 8.53
47.783 8.54
47.785 8.548
47.784 8.559
47.784 8.572
47.791 8.572
47.795 8.566
47.803 8.565
47.805 8.569
47.805 8.595
47.803 8.612
47.798 8.625
47.793 8.629
47.783 8.628
47.776 8.63
47.773 8.635
47.765 8.635
47.763 8.641
47.769 8.648
47.778 8.651
47.792 8.645
47.796 8.65
47.795 8.66
47.785 8.68
47.775 8.688
47.77 8.689
47.758 8.684
47.755 8.688
47.762 8.703
47.763 8.723
47.757 8.734
47.75 8.734
47.746 8.729
47.736 8.72
47.733 8.721
47.728 8.722
47.719 8.735
47.709 8.736
47.7 8.733
47.697 8.735
47.692 8.757
segment Switzerland
47.693 8.721
47.695 8.721
47.705 8.714
47.711 8.711
47.714 8.706
47.715 8.696
47.715 8.689
47.714 8.681
47.713 8.674
47.705 8.673
47.701 8.674
47.695 8.672
47.69 8.668
47.688 8.67
47.696 8.696
47.696 8.703
47.693 8.713
47.693 8.721
